project_name,file_path,mode,full_leak_count,partial_leak_count,leak_count,analysis_time,success,error_message
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\sha3_256_bytes_800.circom,main,0,0,0,0.38193440437316895,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\sha3_512_bytes.circom,main,0,0,0,0.38570380210876465,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\sha3_bits.circom,main,0,0,0,0.3689899444580078,True,
LFDT-Paladin_zeto,LFDT-Paladin_zeto\zkp\js\test\circuits\unpack_bytes.circom,main,0,0,0,0.26253724098205566,True,
nobitex_sigmab,nobitex_sigmab\circuit\mpt_last.circom,main,9,2,11,105.91967964172363,True,
nobitex_sigmab,nobitex_sigmab\circuit\mpt_path.circom,main,3,0,3,84.44648027420044,True,
nobitex_sigmab,nobitex_sigmab\circuit\stealth_balance_addition.circom,main,2,0,2,0.29434847831726074,True,
Poseidon-ZKP_Applied-ZKP-Workshop,Poseidon-ZKP_Applied-ZKP-Workshop\hello_zkp\simple_polynomial.circom,main,4,0,4,0.25922584533691406,True,
Poseidon-ZKP_Applied-ZKP-Workshop,Poseidon-ZKP_Applied-ZKP-Workshop\zkDApp\circuits\group.circom,main,0,0,0,0.2885475158691406,True,
privacy-ethereum_nova-ml,privacy-ethereum_nova-ml\src\merkle\merkleTreeUpdater.circom,main,0,0,0,0.27428150177001953,True,
privacy-ethereum_nova-ml,privacy-ethereum_nova-ml\src\sha256\main.circom,main,0,0,0,0.4321160316467285,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\Addition\Add.circom,main,0,0,0,0.25371503829956055,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\AllBinary\AllBinary.circom,main,0,0,0,0.26491880416870117,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\BinaryXY\BinaryXY.circom,main,0,0,0,0.2644531726837158,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\Equality\Equality.circom,main,0,0,0,0.26537370681762695,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\ForLoop\ForLoop.circom,main,0,0,0,0.24692511558532715,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\HasAtLeastOne\HasAtLeastOne.circom,main,0,0,0,0.2595040798187256,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\IncreasingDistance\IncreasingDistance.circom,main,0,0,0,0.24903011322021484,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\IntDiv\IntDiv.circom,main,0,0,0,0.25954723358154297,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\IntDivOut\IntDivOut.circom,main,0,0,0,0.2532780170440674,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\IntSqrt\IntSqrt.circom,main,0,0,0,0.2560751438140869,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\IntSqrtOut\IntSqrtOut.circom,main,0,0,0,0.247694730758667,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\IsSorted\IsSorted.circom,main,0,0,0,0.2557239532470703,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\IsTribonacci\IsTribonacci.circom,main,0,0,0,0.2514526844024658,True,
RareSkills_zero-knowledge-puzzles,RareSkills_zero-knowledge-puzzles\MultiAND\MultiAND.circom,main,0,0,0,0.27112555503845215,True,
