
================================================================================
Circomspect 隐私泄露评估测试报告
================================================================================

【总体统计】
  总分析文件数: 2373
  模式分布: Main=2373, Library=0
  运行状况: 成功=2365, 失败=8
  总用时: 868.89 秒
  实际被作为 main 入口分析的文件数: 1675
    其中显式指定了 public 信号的占比: 10/1675 (0.6%)
  存在隐私泄露的文件数: 583 (24.6%)
  风险信号总数: 1295 (FULL LEAK: 118, PARTIAL LEAK: 1295)

【按项目统计】
  - SDABIS_SINF_ZK: 1 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - seetadev_ZKMedical-Billing: 2 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - Smitbafna_ZK-AgentMesh: 1 文件, 泄露文件: 1, 风险信号: 21 (FULL: 0, PARTIAL: 21)
  - stellar_soroban-examples: 3 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - succinctlabs_telepathy-circuits: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - succinctlabs_telepathyx: 1 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - utsavempiric20_zk-circom-project: 4 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - victoryeo_circom_zkp: 3 文件, 泄露文件: 1, 风险信号: 5 (FULL: 0, PARTIAL: 5)
  - wyf-ACCEPT_ZK-Decision-Tree-Demo: 2 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - zeroqn_zku: 5 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - zkmopro_benchmark-app: 15 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - zkonduit_formalbenchmarks: 111 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - zksecurity_zkbugs: 12 文件, 泄露文件: 1, 风险信号: 1 (FULL: 0, PARTIAL: 1)
  - ZpokenWeb3_panther: 13 文件, 泄露文件: 1, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - 0b501e7e_voca: 3 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - 0xisk_exploring-circom: 5 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - 0xPolygon_zkevm-proverjs: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - 8e8b2c_zkholo-battleships: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - AJP-432_zk-patent: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - AkshatGada_jpmc0: 2 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - Alby2007_RW-RnD-GovSecure-Enclave-and-Audit-Fabric: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - alegrimaldi20_zk-rollup-example: 12 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - alexroan_zk-playground: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - AndrewCLu_zk-waitlist: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - angianguyen_An: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - angianguyen_FESE: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
