only_variant,project_name,file_path,mode,leak_count,full_leak_count,partial_leak_count,cascade_leak_count,present_full,present_no_unroll_aggressive
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\parallel_template\ex1_parallel_template.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\parallel_template\parallel_template.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\no_parallel\ex1_non_parallel.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\no_parallel\no_parallel.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\parallel_component\ex1_parallel_component.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\parallel_component\parallel_component.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\parallel_template\ex1_parallel_template.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\parallel_template\parallel_template.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\no_parallel\ex1_non_parallel.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\no_parallel\no_parallel.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\parallel_component\ex1_parallel_component.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\parallel_component\parallel_component.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\parallel_template\ex1_parallel_template.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\parallel_template\parallel_template.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\no_parallel\ex1_non_parallel.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\no_parallel\no_parallel.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\parallel_component\ex1_parallel_component.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\parallel_component\parallel_component.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\parallel_template\ex1_parallel_template.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\parallel_template\parallel_template.circom,main,1,1,0,0,True,True
no-unroll-aggressive,finitology_hardhat-circom-starter,finitology_hardhat-circom-starter\circuits\Pubkey.circom,main,1,1,0,0,True,True
no-unroll-aggressive,iden3_circuits,iden3_circuits\test\circuits\utils\utils_getSubjectLocation.circom,main,1,1,0,0,True,True
no-unroll-aggressive,iden3_circuits,iden3_circuits\test\circuits\utils\utils_isExpirable.circom,main,1,1,0,0,True,True
no-unroll-aggressive,iden3_circuits,iden3_circuits\test\circuits\utils\utils_isUpdatable.circom,main,1,1,0,0,True,True
no-unroll-aggressive,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\bitify_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\bytes_all_in_range_test.circom,main,1,1,0,0,True,True
full,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\divrem_test.circom,main,2,2,0,0,True,True
full,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\index_of_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\minmax_allequal_count_test.circom,main,3,3,0,0,True,True
no-unroll-aggressive,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\minn_maxn_test.circom,main,2,2,0,0,True,True
no-unroll-aggressive,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\sha256_256_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\sha256_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\strict_num2bits_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\tally_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\utils_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,marcozecchini_blindRSANotary,marcozecchini_blindRSANotary\examples\unit_test\mgf\mgf1.circom,main,1,1,0,0,True,True
no-unroll-aggressive,namnc_circom-2-arithc,namnc_circom-2-arithc\tests\circuits\integration\arrayAssignment.circom,main,1,1,0,0,True,True
